"Checkout Finland payment module", "Checkout Finland maksumoduli"
"Enabled","Käytössä"
"Title", "Nimi"
"Send email", "Lähetä tilausvahvistus asiakkaalle"
"Send email after confirmation", "Lähetä Magenton tilausvahvistus asiakkaan sähköpostiin, hyväksytyn maksun jälkeen."
"Merchant ID", "Kauppiastunnus"
"Secret", "Kauppiaan turva-avain"
"Merchants secret key", "Kauppiaan salainen turva-avain"
"Delivery Time", "Keskimääräinen toimitusaika päivissä"
"Payment applicable from", "Maksaminen mahdollista"
"Countries payment applicable from", "Maat joista maksaminen on mahdollista."
"Choose payment method", "Valitse maksutapa"
"Error, no order with given id found", "Virhe, annetulla tunnuksella ei löytynyt tilausta."
"Order canceled", "Tilaus peruttu"
"Checkout payment id", "Checkout maksutunniste:"
"Payment completed", "Maksu hyväksytty."
"Payment delayed", "Maksu viivästetty"
"Allow payments under 1 eur", "Salli alle 1 euron maksut"
"Allow payments under the minimum amount", "Huom. Tämä optio sallii minimirajan alittavat maksusuoritukset, tätä ominaisuutta ei tule asettaa päälle ilman erillistä sopimusta."
"Payment Action", "Maksutapahtuman toiminto"
"Set to authorize only so that the invoices are not automatically set to paid", "Aseta Authorize Only, niin tilauksissa luotu lasku ei merkkaannu automaattisesti maksetuksi."
